source,time_period,geo_strat,geo_label,sex_strat,sex_label,age_strat,age_label,abm_strat,abm_label,ppop_strat,ppop_label,domain,measure_raw,measure_gfs,measure_unit,ind_strat,ind_label,est,error_type,error,lci,uci,releasability,prop
abs,2024,nation,Australia,sex_03,Males,age_0to100p_5y_21,85-89,all_01,All,all_01,All,death,deaths,deaths,crude rate (per 1000),abs data explorer deaths,"all deaths by age, sex and state",15952,NA,NA,NA,NA,yes,-16.2
abs,2024,state,Queensland,sex_03,Males,age_0to100p_5y_21,85-89,all_01,All,all_01,All,death,deaths,deaths,crude rate (per 1000),abs data explorer deaths,"all deaths by age, sex and state",3139,NA,NA,NA,NA,yes,-15.1
abs,2024,state,Queensland,sex_03,Females,age_0to100p_5y_21,35-39,all_01,All,all_01,All,death,deaths,deaths,crude rate (per 1000),abs data explorer deaths,"all deaths by age, sex and state",107,NA,NA,NA,NA,yes,0.6
abs,2024,state,Queensland,sex_03,Males,age_0to100p_5y_21,100+,all_01,All,all_01,All,death,deaths,deaths,crude rate (per 1000),abs data explorer deaths,"all deaths by age, sex and state",113,NA,NA,NA,NA,yes,-0.5
abs,2024,nation,Australia,sex_03,Males,age_0to100p_5y_21,60-64,all_01,All,all_01,All,death,deaths,deaths,crude rate (per 1000),abs data explorer deaths,"all deaths by age, sex and state",5636,NA,NA,NA,NA,yes,-5.7
abs,2024,state,Queensland,sex_03,Males,age_0to100p_5y_21,55-59,all_01,All,all_01,All,death,deaths,deaths,crude rate (per 1000),abs data explorer deaths,"all deaths by age, sex and state",832,NA,NA,NA,NA,yes,-4
abs,2024,nation,Australia,sex_03,Females,age_0to100p_5y_21,35-39,all_01,All,all_01,All,death,deaths,deaths,crude rate (per 1000),abs data explorer deaths,"all deaths by age, sex and state",485,NA,NA,NA,NA,yes,0.5
abs,2024,nation,Australia,sex_03,Females,age_0to100p_5y_21,25-29,all_01,All,all_01,All,death,deaths,deaths,crude rate (per 1000),abs data explorer deaths,"all deaths by age, sex and state",273,NA,NA,NA,NA,yes,0.3
abs,2024,nation,Australia,sex_03,Females,age_0to100p_5y_21,95-99,all_01,All,all_01,All,death,deaths,deaths,crude rate (per 1000),abs data explorer deaths,"all deaths by age, sex and state",9275,NA,NA,NA,NA,yes,10.4
abs,2024,nation,Australia,sex_03,Females,age_0to100p_5y_21,65-69,all_01,All,all_01,All,death,deaths,deaths,crude rate (per 1000),abs data explorer deaths,"all deaths by age, sex and state",4805,NA,NA,NA,NA,yes,5.4
